JobID,JobName,Partition,State,Submit,Start,End,Elapsed,ReqMem,MaxRSS,MaxVMSize,MaxPages,TotalCPU,NodeList
460043_29.extern,extern,,COMPLETED,2022-03-27T09:29:13,2022-03-27T09:29:13,2022-03-27T09:29:22,00:00:09,60Gn,1148K,80188K,0,00:00.001,sablab-gpu-01
460044_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:34:12,2022-03-27T09:34:12,2022-03-27T09:34:22,00:00:10,60Gn,,,,00:05.447,sablab-gpu-01
460044_29.batch,batch,,COMPLETED,2022-03-27T09:34:12,2022-03-27T09:34:12,2022-03-27T09:34:22,00:00:10,60Gn,1236K,80248K,0,00:05.445,sablab-gpu-01
460044_29.extern,extern,,COMPLETED,2022-03-27T09:34:12,2022-03-27T09:34:12,2022-03-27T09:34:22,00:00:10,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-01
460108_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:39:12,2022-03-27T09:39:13,2022-03-27T09:39:24,00:00:11,60Gn,,,,00:05.328,hinton
460108_29.batch,batch,,COMPLETED,2022-03-27T09:39:13,2022-03-27T09:39:13,2022-03-27T09:39:24,00:00:11,60Gn,1248K,80248K,0,00:05.326,hinton
460108_29.extern,extern,,COMPLETED,2022-03-27T09:39:13,2022-03-27T09:39:13,2022-03-27T09:39:24,00:00:11,60Gn,1152K,80208K,0,00:00.002,hinton
460115_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:44:12,2022-03-27T09:44:12,2022-03-27T09:44:21,00:00:09,60Gn,,,,00:04.647,hinton
460115_29.batch,batch,,COMPLETED,2022-03-27T09:44:12,2022-03-27T09:44:12,2022-03-27T09:44:21,00:00:09,60Gn,1248K,80248K,0,00:04.645,hinton
460115_29.extern,extern,,COMPLETED,2022-03-27T09:44:12,2022-03-27T09:44:12,2022-03-27T09:44:21,00:00:09,60Gn,1152K,80208K,0,00:00.002,hinton
460129_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:49:12,2022-03-27T09:49:12,2022-03-27T09:49:20,00:00:08,60Gn,,,,00:04.630,hinton
460129_29.batch,batch,,COMPLETED,2022-03-27T09:49:12,2022-03-27T09:49:12,2022-03-27T09:49:20,00:00:08,60Gn,1244K,80248K,0,00:04.628,hinton
460129_29.extern,extern,,COMPLETED,2022-03-27T09:49:12,2022-03-27T09:49:12,2022-03-27T09:49:20,00:00:08,60Gn,1148K,80208K,0,00:00.002,hinton
460140_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:54:12,2022-03-27T09:54:13,2022-03-27T09:54:33,00:00:20,60Gn,,,,00:07.513,sablab-gpu-05
460140_29.batch,batch,,COMPLETED,2022-03-27T09:54:13,2022-03-27T09:54:13,2022-03-27T09:54:33,00:00:20,60Gn,1236K,80248K,0,00:07.512,sablab-gpu-05
460140_29.extern,extern,,COMPLETED,2022-03-27T09:54:13,2022-03-27T09:54:13,2022-03-27T09:54:33,00:00:20,60Gn,1136K,80188K,0,00:00.001,sablab-gpu-05
460141_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:59:12,2022-03-27T09:59:12,2022-03-27T09:59:32,00:00:20,60Gn,,,,00:07.308,sablab-gpu-04
460141_29.batch,batch,,COMPLETED,2022-03-27T09:59:12,2022-03-27T09:59:12,2022-03-27T09:59:32,00:00:20,60Gn,1240K,80248K,0,00:07.306,sablab-gpu-04
460141_29.extern,extern,,COMPLETED,2022-03-27T09:59:12,2022-03-27T09:59:12,2022-03-27T09:59:32,00:00:20,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-04
460142_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:04:12,2022-03-27T10:04:12,2022-03-27T10:04:33,00:00:21,60Gn,,,,00:08.187,sablab-gpu-01
460142_29.batch,batch,,COMPLETED,2022-03-27T10:04:12,2022-03-27T10:04:12,2022-03-27T10:04:33,00:00:21,60Gn,1240K,80248K,0,00:08.185,sablab-gpu-01
460142_29.extern,extern,,COMPLETED,2022-03-27T10:04:12,2022-03-27T10:04:12,2022-03-27T10:04:33,00:00:21,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-01
460143_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:09:12,2022-03-27T10:09:13,2022-03-27T10:09:22,00:00:09,60Gn,,,,00:05.436,sablab-gpu-01
460143_29.batch,batch,,COMPLETED,2022-03-27T10:09:13,2022-03-27T10:09:13,2022-03-27T10:09:22,00:00:09,60Gn,1240K,80248K,0,00:05.435,sablab-gpu-01
460143_29.extern,extern,,COMPLETED,2022-03-27T10:09:13,2022-03-27T10:09:13,2022-03-27T10:09:22,00:00:09,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-01
460144_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:14:12,2022-03-27T10:14:13,2022-03-27T10:14:22,00:00:09,60Gn,,,,00:05.411,sablab-gpu-01
460144_29.batch,batch,,COMPLETED,2022-03-27T10:14:13,2022-03-27T10:14:13,2022-03-27T10:14:22,00:00:09,60Gn,1240K,80248K,0,00:05.409,sablab-gpu-01
460144_29.extern,extern,,COMPLETED,2022-03-27T10:14:13,2022-03-27T10:14:13,2022-03-27T10:14:22,00:00:09,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-01
460177_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:19:12,2022-03-27T10:19:12,2022-03-27T10:19:25,00:00:13,60Gn,,,,00:05.274,hinton
460177_29.batch,batch,,COMPLETED,2022-03-27T10:19:12,2022-03-27T10:19:12,2022-03-27T10:19:25,00:00:13,60Gn,1248K,80248K,0,00:05.271,hinton
460177_29.extern,extern,,COMPLETED,2022-03-27T10:19:12,2022-03-27T10:19:12,2022-03-27T10:19:25,00:00:13,60Gn,1152K,80208K,0,00:00.002,hinton
460183_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:24:12,2022-03-27T10:24:13,2022-03-27T10:24:21,00:00:08,60Gn,,,,00:04.634,hinton
460183_29.batch,batch,,COMPLETED,2022-03-27T10:24:13,2022-03-27T10:24:13,2022-03-27T10:24:21,00:00:08,60Gn,1252K,80248K,0,00:04.631,hinton
460183_29.extern,extern,,COMPLETED,2022-03-27T10:24:13,2022-03-27T10:24:13,2022-03-27T10:24:21,00:00:08,60Gn,1152K,80208K,0,00:00.002,hinton
460190_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:29:12,2022-03-27T10:29:12,2022-03-27T10:29:21,00:00:09,60Gn,,,,00:04.620,hinton
460190_29.batch,batch,,COMPLETED,2022-03-27T10:29:12,2022-03-27T10:29:12,2022-03-27T10:29:21,00:00:09,60Gn,1248K,80248K,0,00:04.618,hinton
460190_29.extern,extern,,COMPLETED,2022-03-27T10:29:12,2022-03-27T10:29:12,2022-03-27T10:29:21,00:00:09,60Gn,1148K,80208K,0,00:00.002,hinton
460199_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:34:12,2022-03-27T10:34:12,2022-03-27T10:34:21,00:00:09,60Gn,,,,00:04.614,hinton
460199_29.batch,batch,,COMPLETED,2022-03-27T10:34:12,2022-03-27T10:34:12,2022-03-27T10:34:21,00:00:09,60Gn,1248K,80248K,0,00:04.611,hinton
460199_29.extern,extern,,COMPLETED,2022-03-27T10:34:12,2022-03-27T10:34:12,2022-03-27T10:34:21,00:00:09,60Gn,1152K,80208K,0,00:00.002,hinton
460209_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:39:12,2022-03-27T10:39:13,2022-03-27T10:39:33,00:00:20,60Gn,,,,00:07.299,sablab-gpu-04
460209_29.batch,batch,,COMPLETED,2022-03-27T10:39:13,2022-03-27T10:39:13,2022-03-27T10:39:33,00:00:20,60Gn,1240K,80248K,0,00:07.297,sablab-gpu-04
460209_29.extern,extern,,COMPLETED,2022-03-27T10:39:13,2022-03-27T10:39:13,2022-03-27T10:39:33,00:00:20,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-04
460210_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:42:55,2022-03-27T10:42:55,2022-03-27T10:43:05,00:00:10,60Gn,,,,00:05.414,sablab-gpu-04
460210_29.batch,batch,,COMPLETED,2022-03-27T10:42:55,2022-03-27T10:42:55,2022-03-27T10:43:05,00:00:10,60Gn,1240K,80248K,0,00:05.413,sablab-gpu-04
460210_29.extern,extern,,COMPLETED,2022-03-27T10:42:55,2022-03-27T10:42:55,2022-03-27T10:43:05,00:00:10,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-04
460355,bash,default_partition-interactive,FAILED,2022-03-27T12:19:28,2022-03-27T12:19:28,2022-03-27T12:28:30,00:09:02,1000Mc,,,,00:00.754,joachims-cpu-01
460355.extern,extern,,COMPLETED,2022-03-27T12:19:28,2022-03-27T12:19:28,2022-03-27T12:28:30,00:09:02,1000Mc,1168K,80212K,0,00:00.002,joachims-cpu-01
460355.0,bash,,FAILED,2022-03-27T12:19:28,2022-03-27T12:19:28,2022-03-27T12:28:30,00:09:02,1000Mc,5924K,213376K,0,00:00.752,joachims-cpu-01
