JobID,JobName,Partition,State,Reason,ExitCode,SystemComment,Priority,Timelimit,Submit,Start,End,Elapsed,ReqMem,MaxRSS,MaxVMSize,MaxPages,TotalCPU,NodeList
501378_6,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T05:38:58,07:35:51,35Gn,,,,05:23:14,hariharan-compute-02
501378_6.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T05:38:58,07:35:51,35Gn,35.06G,54.62G,0.00G,05:23:14,hariharan-compute-02
501378_6.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T05:38:58,07:35:51,35Gn,0.00G,0.08G,0,00:00.002,hariharan-compute-02
501378_7,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T11:15:28,13:12:21,35Gn,,,,10:45:50,hariharan-compute-02
501378_7.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T11:15:28,13:12:21,35Gn,35.07G,55.19G,0.00G,10:45:50,hariharan-compute-02
501378_7.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T11:15:28,13:12:21,35Gn,0.00G,0.08G,0,00:00.001,hariharan-compute-02
501378_9,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T17:38:13,19:35:06,35Gn,,,,16:56:24,sablab-gpu-07
501378_9.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T17:38:13,19:35:06,35Gn,34.37G,56.30G,0.00G,16:56:24,sablab-gpu-07
501378_9.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T17:38:13,19:35:06,35Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-07
501378_10,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T17:12:46,19:09:39,35Gn,,,,16:35:27,sablab-gpu-07
501378_10.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T17:12:46,19:09:39,35Gn,35.03G,67.42G,0.00G,16:35:27,sablab-gpu-07
501378_10.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T17:12:46,19:09:39,35Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-07
501378_11,PuddinPcc,gpu,TIMEOUT,None,0:0,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T22:05:27,1-00:02:20,35Gn,,,,00:01.250,sablab-gpu-07
501378_11.batch,batch,,CANCELLED,,0:15,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T22:05:30,1-00:02:23,35Gn,32.14G,54.07G,0.00G,00:01.249,sablab-gpu-07
501378_11.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T22:05:27,1-00:02:20,35Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-07
501378_12,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T13:21:47,15:18:40,35Gn,,,,12:55:27,sablab-gpu-03
501378_12.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T13:21:47,15:18:40,35Gn,34.63G,57.38G,0.00G,12:55:27,sablab-gpu-03
